scenario,region,basin,resource,subresource,Units,year,value,share
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2018,20.11956,0.8106992070930479
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2019,20.89668,0.8414212534095054
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2020,21.6738,0.8721001817931614
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2021,22.0113,0.8747068553972027
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2022,22.3488,0.8772497266445135
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2023,22.6863,0.8797311097052766
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2024,23.0238,0.8821532081705016
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2025,23.3613,0.884518121578883
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2026,23.2737,0.8691277107656264
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2027,23.1861,0.8541533386140848
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2028,23.0985,0.8395783603561847
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2029,23.0109,0.825387007431636
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2030,22.9233,0.8115643305805956
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2031,22.71396,0.8176413873419647
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,2032,22.50462,0.823925788386364
