scenario,source,target,year,value,units
rcp45cooler_ssp3,Gas,Commercial,2025,3.485907704678998,EJ
rcp45cooler_ssp3,Gas,Electricity,2025,13.002591346600486,EJ
rcp45cooler_ssp3,Gas,Hydrogen,2025,0.0285021,EJ
rcp45cooler_ssp3,Gas,Industry,2025,8.65768387889,EJ
rcp45cooler_ssp3,Gas,Liquid Fuels,2025,1.264486734949769,EJ
rcp45cooler_ssp3,Gas,Losses,2025,1.2103866273126584,EJ
rcp45cooler_ssp3,Gas,Residential,2025,4.87620456613709,EJ
rcp45cooler_ssp3,Gas,Transportation-Vehicle,2025,0.740779041431,EJ
rcp45cooler_ssp3,Geothermal,Electricity,2025,0.09462403,EJ
rcp45cooler_ssp3,Hydrogen,Industry,2025,0.00201702720345,EJ
rcp45cooler_ssp3,Hydrogen,Losses,2025,0.025091797374550008,EJ
rcp45cooler_ssp3,Hydrogen,Transportation-Vehicle,2025,0.04187062729,EJ
rcp45cooler_ssp3,Hydropower,Electricity,2025,0.9980285891,EJ
rcp45cooler_ssp3,Liquid Fuels,Commercial,2025,0.60166089576647,EJ
rcp45cooler_ssp3,Liquid Fuels,Electricity,2025,0,EJ
rcp45cooler_ssp3,Liquid Fuels,Industry,2025,6.890334420775,EJ
rcp45cooler_ssp3,Liquid Fuels,Losses,2025,3.234262042628515,EJ
rcp45cooler_ssp3,Liquid Fuels,Residential,2025,0.612472797090985,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-NonVehicle,2025,5.834944202896,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-Vehicle,2025,22.27868146076,EJ
rcp45cooler_ssp3,Natural Gas,Gas,2025,32.582,EJ
rcp45cooler_ssp3,Natural Gas,Hydrogen,2025,0.0336359,EJ
rcp45cooler_ssp3,Natural Gas,Liquid Fuels,2025,0.014936915556,EJ
rcp45cooler_ssp3,Nuclear,Electricity,2025,3.13334111793315,EJ
rcp45cooler_ssp3,Nuclear,Hydrogen,2025,0.00254654,EJ
rcp45cooler_ssp3,Oil,Liquid Fuels,2025,36.0540156937,EJ
rcp45cooler_ssp3,Solar,Electricity,2025,0.366825980590246,EJ
rcp45cooler_ssp3,Wind,Electricity,2025,1.476399660732402,EJ
rcp45cooler_ssp3,Biomass,Commercial,2030,0.150574166227283,EJ
rcp45cooler_ssp3,Biomass,Electricity,2030,9.759413254e-6,EJ
rcp45cooler_ssp3,Biomass,Gas,2030,0.838684,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,2030,0.01005647,EJ
rcp45cooler_ssp3,Biomass,Industry,2030,1.7734152483498,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,2030,1.87003663784151,EJ
rcp45cooler_ssp3,Biomass,Residential,2030,0.490048236085609,EJ
rcp45cooler_ssp3,Coal,Commercial,2030,0.00997126581801,EJ
rcp45cooler_ssp3,Coal,Electricity,2030,3.199655161637617,EJ
rcp45cooler_ssp3,Coal,Gas,2030,0,EJ
rcp45cooler_ssp3,Coal,Hydrogen,2030,4.38998e-7,EJ
rcp45cooler_ssp3,Coal,Industry,2030,1.443341008721,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,2030,0.0054000709148,EJ
rcp45cooler_ssp3,Coal,Residential,2030,0,EJ
rcp45cooler_ssp3,Electricity,Commercial,2030,5.393388802910998,EJ
rcp45cooler_ssp3,Electricity,Industry,2030,3.1421952398,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,2030,0.2002359827216,EJ
rcp45cooler_ssp3,Electricity,Losses,2030,9.81436894035132,EJ
rcp45cooler_ssp3,Electricity,Residential,2030,5.694107236894434,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,2030,0.03866980006,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,2030,0.15498731933,EJ
rcp45cooler_ssp3,Gas,Commercial,2030,3.377099909434049,EJ
rcp45cooler_ssp3,Gas,Electricity,2030,14.49737083513412,EJ
rcp45cooler_ssp3,Gas,Hydrogen,2030,0.0590641,EJ
rcp45cooler_ssp3,Gas,Industry,2030,8.72768619672,EJ
rcp45cooler_ssp3,Gas,Liquid Fuels,2030,1.214478992290416,EJ
